n,p030,p040,p045,p048,p049
92,2.825120701318769,4.207927869106035,6.8929750156315155,14.411146804095692,23.57310672124084
93,2.8251207013187694,4.207927869713118,6.893005867595563,14.422849231760907,23.651306817511305
94,2.825120701318769,4.207927870198786,6.893033634350775,14.434083190316873,23.727937003984024
95,2.825120701318769,4.20792787058732,6.893058624420402,14.444867448260167,23.803028950748487
96,2.8251207013187685,4.207927870898147,6.893081115474911,14.455220020949872,23.876613681136885
97,2.8251207013187685,4.207927871146809,6.893101357417364,14.46515820092893,23.948721585372475
98,2.825120701318769,4.207927871345738,6.89311957516022,14.474698587016332,24.019382433902905
99,2.825120701318769,4.207927871504881,6.893135971124459,14.483857112220743,24.088625390427577
100,2.825120701318769,4.2079278716321955,6.893150727488763,14.492649070523916,24.156479024627707
101,2.825120701318769,4.207927871734047,6.893164008213795,14.501089142580309,24.22297132460747
102,2.8251207013187694,4.20792787181553,6.89317596086402,14.509191420377304,24.288129709054136
103,2.8251207013187694,4.207927871880715,6.893186718247358,14.516969430898547,24.35198103912488
104,2.82512070131877,4.207927871932863,6.893196399890852,14.524436158831156,24.41455163006772
105,2.82512070131877,4.207927871974581,6.893205113368772,14.53160406835589,24.47586726258351
106,2.82512070131877,4.207927872007956,6.893212955497909,14.538485124057646,24.535953193935963
107,2.82512070131877,4.207927872034656,6.893220013413329,14.545090810992182,24.59483416881619
108,2.82512070131877,4.207927872056016,6.893226365536555,14.551432153943383,24.6525344299681
109,2.82512070131877,4.207927872073103,6.893232082446933,14.557519735904068,24.709077728580812
110,2.82512070131877,4.207927872086774,6.893237227665847,14.563363715811853,24.764487334453936
111,2.8251207013187694,4.207927872097709,6.893241858362524,14.568973845570381,24.81878604594142
112,2.82512070131877,4.207927872106459,6.893246025989252,14.574359486384902,24.871996199679526
113,2.82512070131877,4.2079278721134585,6.8932497768530805,14.579529624440065,24.924139680104222
114,2.82512070131877,4.2079278721190585,6.8932531526303435,14.584492885946531,24.975237928763086
115,2.82512070131877,4.207927872123538,6.89325619082973,14.589257551582046,25.025311953426844
116,2.82512070131877,4.207927872127121,6.893258925209059,14.593831570351469,25.07438233700526
117,2.82512070131877,4.207927872129988,6.893261386150358,14.598222572889277,25.122469246272143
118,2.8251207013187694,4.207927872132282,6.893263600997446,14.602437884227104,25.169592440403914
119,2.8251207013187694,4.207927872134116,6.893265594359761,14.606484536047944,25.215771279336263
120,2.8251207013187694,4.207927872135583,6.893267388385794,14.610369278447777,25.261024731943035
121,2.8251207013187694,4.207927872136757,6.893269003009181,14.614098591224508,25.30537138404163
122,2.82512070131877,4.207927872137697,6.893270456170195,14.617678694713286,25.34882944622886
123,2.82512070131877,4.207927872138449,6.89327176401508,14.621115560186572,25.391416761551124
124,2.82512070131877,4.2079278721390505,6.893272941075454,14.624414919836445,25.433150813012894
125,2.82512070131877,4.207927872139532,6.8932740004297735,14.627582276356055,25.47404873092701
126,2.8251207013187694,4.207927872139917,6.893274953848645,14.630622912136344,25.51412730011051
127,2.8251207013187694,4.207927872140225,6.893275811925618,14.633541898093576,25.5534029669294
128,2.8251207013187694,4.207927872140471,6.893276584194886,14.63634410214252,25.591891846195857
129,2.8251207013187694,4.207927872140668,6.893277279237218,14.639034197329572,25.62960972792111
130,2.8251207013187694,4.207927872140826,6.893277904775311,14.641616669639534,25.66657208392729
131,2.8251207013187694,4.207927872140952,6.893278467759589,14.644095825489124,25.702794074321293
132,2.8251207013187694,4.207927872141053,6.893278974445434,14.64647579891991,25.738290553833835
133,2.8251207013187694,4.207927872141134,6.893279430462691,14.648760558502687,25.773076078026545
134,2.8251207013187694,4.207927872141199,6.89327984087822,14.650953913964921,25.807164909370183
135,2.825120701318769,4.2079278721412505,6.893280210252196,14.653059522552468,25.84057102319661
136,2.825120701318769,4.207927872141291,6.893280542688772,14.655080895136114,25.873308113527436
137,2.825120701318769,4.207927872141325,6.893280841881689,14.657021402073342,25.90538959878192
138,2.8251207013187685,4.207927872141352,6.893281111155312,14.65888427883505,25.93682862736684
139,2.8251207013187685,4.207927872141372,6.893281353501573,14.660672631406722,25.967638083150863
140,2.8251207013187685,4.207927872141389,6.8932815716132065,14.662389441473119,25.997830590825874
141,2.8251207013187685,4.207927872141402,6.893281767913676,14.664037571395122,26.02741852115774
142,2.8251207013187685,4.207927872141414,6.893281944584097,14.665619768987156,26.0564139961289
143,2.8251207013187685,4.207927872141423,6.893282103587476,14.667138672103166,26.08482889397511
144,2.825120701318768,4.20792787214143,6.893282246690517,14.668596813038796,26.112674854118552
145,2.825120701318768,4.207927872141435,6.893282375483253,14.669996622757212,26.13996328199955
