0.01,0.49744948872167594
0.02,0.494795818978569
0.03,0.49203558015279986
0.04,0.4891650802629996
0.05,0.4861803368224928
0.06,0.48307706526840943
0.07,0.4798506648736667
0.08,0.4764962022135229
0.09,0.4730083918817034
0.1,0.4693815744834921
0.11,0.465609691536725
0.12,0.4616862573414687
0.13,0.4576043271272043
0.14,0.4533564614369582
0.15,0.4489346861965353
0.16,0.4443304479931964
0.17,0.439534563974134
0.18,0.4345371656688662
0.19,0.4293276359142896
0.2,0.4238945379118793
0.21,0.4182255352676094
0.22,0.41230730160345985
0.23,0.40612541836696225
0.24,0.39966425828863333
0.25,0.3929068528276665
0.26,0.3858347405484249
0.27,0.3784277925552129
0.28,0.37066401132067
0.29,0.36251929736857436
0.3,0.353967177362749
0.31,0.3449784853579999
0.32,0.33552098717470386
0.33,0.3255589340213608
0.34,0.31505252879421236
0.35,0.30395728211043227
0.36,0.29222322847114723
0.37,0.27979396160340214
0.38,0.26660543298673284
0.39,0.25258443566758443
0.4,0.2376466593045454
0.41,0.22169414950514127
0.42,0.2046119137354686
0.43,0.18626326568167914
0.44,0.166483223745457
0.45,0.1450687471002625
0.46,0.12176346991074642
0.47,0.09623191625010404
0.48,0.06801060189377106
0.49,0.036394902372842514
